Fe
63.1536
64.978
60.9201
67.2948
66.4427
49.6433
53.67
53.67
51.5538
64.8433
68.7323
64.0012
60.86
60.7702
60.79
63.14
64.838
57.0097
60.5955
62.8104
63.03
63.03
63.03
63.03
63.03
58.1452
60.94
56.47
56.47
61.1163
61.72
61.72
58.5264
62.8513
63.1484
62.5116
60.058
56.99
63.0676
63.91
63.0767
60.8791
64.7214
56.509
77.8692
80.91
44.0846
56.7621
62.19
62.9941
54.4944
43.8805
36.5363
61.78
61.1794
62.1384
65.04
65.04
65.04
65.04
65.1092
63.74
66.751
59.0121
60.03
60.9724
52.2125
47.5222
38.786
39.0678
43.3208
55.705
53.1905
46.86
45.7123
44.4931
44.7
59.2338
64.14
64.7445
64.1818
62.3248
60.71
64.263
64.89
64.89
64.89
61.3696
58.12
58.12
58.12
52.5872
43.1316
46.37
48.9939
49.8
47.792
60.762
64.8894
64.5236
65.2925
56.885
52.5765
48.498
52.8064
47.6194
45.207
59.2823
65.8355
66.9667
57.2184
58.9318
69.171
66.449
66.4201
60.5
35.4881
48.0017
58.42
34.2196
45.5278
63.6331
54.008
69.37
60.5082
64.03
65.8934
66.45
49.7212
41.71
52.1999
60.1623
56.5824
62.25
63.5388
63.4177
66.0061
60.59
56.9655
52.7331
54.8
62.4543
63.9999
58.4936
62.677
64.7661
63.87
61.7502
62.764
63.9693
51.3824
65.3196
64.1128
53.7165
46.4075
64.53
55.395
54.1938
57.57
66.6696
68.3952
67.7267
62.0765
61.534
49.3918
64.2483
63.83
67.1073
65.79
45.1424
68.3383
68.7485
69.6105
63.7032
63.83
63.83
63.83
66.4776
56.9764
65.87
39.193
53.7771
63.8277
64.7003
63.7991
63.9188
58.6337
62.7514
60.0117
57.475
56.7593
56.071
61.1446
55.3909
57.5267
60.7872
60.72
60.4943
56.89
58.1469
62.5274
58.522
59.4005
62.4648
65.6577
57.94
58.922
58.4256
59.366
59.8396
40.23
63.5455
61.9038
60.9835
64.5498
64.67
62.597
64.63
61.0183
65.356
68.11
68.11
66.4538
53.7192
55.6316
48.8524
47.3302
46.197
58.852
59.4511
64.8661
60.9632
59.61
61.4042
54.4891
67.9751
49.6629
66.2557
66.4153
65.3111
68.6343
66.7045
66.9204
67.64
65.6774
62.5844
66.6914
66.1334
62.15
54.6648
49.3378
65.8213
65.243
51.5993
55.0992
58.2327
46.6013
50.0371
67.8035
66.2923
54.7368
54.1218
54.7001
67.9703
67.4882
63.2177
60.2136
65.9266
66.6835
63.866
60.9607
53.4506
53.9465
52.5322
62.7663
56.2453
49.3835
48.5933
45.6737
46.579
46.8237
46.863
51.5417
57.1324
55.5519
55.8057
59.1682
56.5842
50.5787
56.1851
53.3244
53.4245
67.1232
