X,Y,Z,HoleID,Fe
1050.156728,5206.533135,1039.356575,FD00034,47.6194
1045.612433,5203.454061,1010.381382,FD00034,45.207
1046.710533,5204.569408,1000.664834,FD00034,59.2823
1043.796556,5204.839452,991.102714,FD00034,65.8355
1040.992103,5205.101876,981.507632,FD00034,66.9667
1044.079649,5255.239009,925.389130,FD00035,57.2184
973.696470,5404.538738,1096.163574,FD00036,58.9318
973.988422,5404.266657,1086.171695,FD00036,69.171
974.202406,5403.867996,1076.182016,FD00036,66.449
974.346855,5403.374810,1066.195286,FD00036,66.4201
974.421091,5402.771596,1056.213845,FD00036,60.5
400.984307,4771.931207,992.824156,FD00042,35.4881
1134.921073,5182.161596,992.581999,FD00043,48.0017
1128.892513,5183.705796,973.574947,FD00043,58.42
1122.678927,5185.170966,954.621319,FD00043,34.2196
1119.525825,5185.899380,945.159432,FD00043,45.5278
1061.875621,5192.796376,807.048379,FD00043,63.6331
1057.486730,5192.884457,798.063428,FD00043,54.008
1109.016568,5972.145003,1039.682533,FD00044,69.37
563.752830,5629.150576,1143.566726,FD00049,60.5082
806.098613,4695.391092,755.659965,FD00057,64.03
801.390097,4694.096803,746.933300,FD00057,65.8934
798.800412,4693.384943,742.133634,FD00057,66.45
645.374583,2882.159249,984.399051,FD00058,49.7212
642.743640,2882.241605,974.751726,FD00058,41.71
1024.511282,4986.190807,849.518011,FD00060,52.1999
1019.852788,4985.400399,840.704782,FD00060,60.1623
1015.098547,4984.561743,831.947402,FD00060,56.5824
977.669052,4890.380209,912.242479,FD00061,62.25
971.440869,4889.491350,904.469920,FD00061,63.5388
965.014451,4888.494532,896.873848,FD00061,63.4177
958.416324,4887.394447,889.440790,FD00061,66.0061
606.185599,4124.233331,1032.124992,FD00062,60.59
603.543580,4123.961316,1022.484163,FD00062,56.9655
592.461954,4123.584815,984.054302,FD00062,52.7331
589.615771,4123.665152,974.468238,FD00062,54.8
1093.043340,5352.789783,1002.064026,FD00064,62.4543
1090.095534,5352.294946,992.521350,FD00064,63.9999
751.345076,3750.429854,982.233280,FD00066,58.4936
748.670614,3750.458457,972.597614,FD00066,62.677
745.974935,3750.477479,962.967826,FD00066,64.7661
743.307654,3750.459476,953.330147,FD00066,63.87
740.705404,3750.375735,943.675074,FD00066,61.7502
693.277281,4076.811460,942.944981,FD00067,62.764
721.064770,4064.743422,858.248052,FD00067,63.9693
724.134935,4062.729463,848.946621,FD00067,51.3824
712.254915,3871.326491,999.208947,FD00069,65.3196
712.448765,3871.472739,989.211935,FD00069,64.1128
712.706942,3871.511664,979.215478,FD00069,53.7165
713.013398,3871.458139,969.220329,FD00069,46.4075
713.371364,3871.372844,959.227135,FD00069,64.53
713.827355,3871.265734,949.238159,FD00069,55.395
652.987785,3825.331947,986.999645,FD00070,54.1938
567.008381,2716.449178,982.190696,FD00071,57.57
614.801033,4773.127883,806.711817,FD00072,66.6696
608.540030,4772.373858,798.950939,FD00072,68.3952
602.251793,4771.591517,791.214939,FD00072,67.7267
570.406864,4767.569423,752.878528,FD00072,62.0765
564.013404,4766.743595,745.233813,FD00072,61.534
910.386103,5413.538573,1077.474240,FD00086,49.3918
906.828356,5414.247941,1068.155618,FD00086,64.2483
903.194321,5414.823370,1058.857227,FD00086,63.83
479.871495,4843.423524,881.479897,FD00091,67.1073
476.904272,4843.439335,871.930278,FD00091,65.79
473.916588,4843.435492,862.387033,FD00091,45.1424
769.723012,4481.203938,765.642504,FD00098,68.3383
764.557464,4480.830064,757.088156,FD00098,68.7485
759.343752,4480.467988,748.562552,FD00098,69.6105
1342.219854,6039.398089,903.913001,FD00101,63.7032
1341.095163,6038.710153,894.000300,FD00101,63.83
1339.942563,6037.987530,884.093282,FD00101,63.83
1338.746907,6037.235885,874.193527,FD00101,63.83
563.697330,5801.616551,1139.020512,FD00103,66.4776
1225.404089,6053.245417,997.002143,FD00104,56.9764
1225.209144,6053.150421,987.004596,FD00104,65.87
591.562972,5803.274440,1104.203120,FD00109,39.193
1182.381852,5397.495092,890.842397,FD00110,53.7771
866.767054,4254.669758,794.478857,FD00122,63.8277
863.553712,4254.644375,785.009277,FD00122,64.7003
860.260290,4254.569382,775.567533,FD00122,63.7991
856.871504,4254.457486,766.159943,FD00122,63.9188
853.391615,4254.304797,756.786254,FD00122,58.6337
507.794732,4364.395707,942.476475,FD00123,62.7514
689.286603,4107.620608,809.323392,FD00129,60.0117
687.410897,4107.118990,799.513699,FD00129,57.475
685.525546,4106.625083,789.705464,FD00129,56.7593
683.657577,4106.131381,779.893892,FD00129,56.071
851.680070,4146.383999,932.878957,FD00135,61.1446
839.630135,4138.427661,874.667252,FD00135,55.3909
643.910045,5032.124068,833.849563,FD00140,57.5267
1073.047929,5861.465303,886.115770,FD00141,60.7872
1068.356036,5861.402423,877.285054,FD00141,60.72
753.233924,4505.364111,912.243980,FD00143,60.4943
744.656109,4504.904020,894.183077,FD00143,56.89
740.282383,4504.624154,885.194641,FD00143,58.1469
735.871274,4504.329689,876.224956,FD00143,62.5274
522.081134,4269.882133,947.662316,FD00144,58.522
521.799414,4269.575975,937.670979,FD00144,59.4005
521.557083,4269.288812,927.678068,FD00144,62.4648
521.350656,4269.014241,917.683976,FD00144,65.6577
872.403553,4571.889806,880.718486,FD00146,57.94
870.205993,4571.821036,870.963192,FD00146,58.922
779.565649,4290.159117,1041.926676,FD00157,58.4256
714.727472,4423.949303,1002.305202,FD00158,59.366
712.750909,4424.009999,992.502747,FD00158,59.8396
1074.937173,4559.547757,1081.303254,FD00161,40.23
